lang,src_url,tgt_url,shopify_url,match_pass,src_handle_similarity,note
it,/it/3/cura-del-corpo/alepeo-aleppo.aspx,/it/3/cura-del-corpo.aspx,/collections/cura-del-corpo,exact,0.37,src slug and chosen handle are dissimilar
de,/de/3/spiritualitt/pendel-und-wnschelruten.aspx,/de/3/spiritualitt/pendel-fr-profis.aspx,/collections/pendel-fur-profis,exact,0.50,src slug and chosen handle are dissimilar
es,/es/3/espiritualidad/pndulos-y-varillas-de-zahor.aspx,/es/3/espiritualidad/pndulos-para-profesionales.aspx,/collections/pendulos-para-profesionales,exact,0.48,src slug and chosen handle are dissimilar
fr,/fr/3/spiritualit/radiesthsie-pendules-baguettes-de-sourcier.aspx,/fr/3/spiritualit/pendules-pour-professionnels.aspx,/collections/pendules-pour-professionnels,exact,0.40,src slug and chosen handle are dissimilar
it,/it/3/spiritualita/radiestesia-bacchette-da-rabdomante.aspx,/it/3/spiritualita/pendoli-per-professionisti.aspx,/collections/pendoli-per-professionisti,exact,0.20,src slug and chosen handle are dissimilar
fr,/fr/3/papeterie-et-emballage/rcipients-bocaux-botes.aspx,/fr/3/papeterie-et-emballage/conteneurs-pots-botes-sacs.aspx,/collections/conteneurs-pots-boîtes-sacs,exact,0.45,src slug and chosen handle are dissimilar
nl,/nl/3/yoga/yoga-kleding-yogamasti.aspx,/nl/3/yoga/alle-yogakleding.aspx,/collections/yoga,parent,0.31,src slug and chosen handle are dissimilar
de,/de/3/yoga/yogakleidung-yogamasti.aspx,/de/3/yoga/alle-yogakleidung.aspx,/collections/yoga-produkte,parent,0.40,src slug and chosen handle are dissimilar
es,/es/3/yoga/ropa-de-yoga-yogamasti.aspx,/es/3/yoga/todas-la-ropas-de-yoga.aspx,/collections/articulos-de-yoga,parent,0.51,src slug and chosen handle are dissimilar
fr,/fr/3/yoga/vtements-de-yoga-yogamasti.aspx,/fr/3/yoga/tous-les-vtements-de-yoga.aspx,/collections/accessoires-de-yoga,parent,0.49,src slug and chosen handle are dissimilar
it,/it/3/yoga/abbigliamento-yoga-yogamasti.aspx,/it/3/yoga/tutto-per-labbigliamento-yoga.aspx,/collections/prodotti-yoga,parent,0.29,src slug and chosen handle are dissimilar
nl,/nl/3/klankschalen-en-meer/tingshas-drums-dorje-en-bel.aspx,/nl/3/klankschalen-en-meer/sound-healing-instrumenten.aspx,/collections/sound-healing-instrumenten,exact,0.38,src slug and chosen handle are dissimilar
en,/en/3/singing-bowls-and-more/tingshas-drums-dorje-and-bell.aspx,/en/3/singing-bowls-and-more/sound-healing-instruments.aspx,/collections/sound-healing-instruments,exact,0.30,src slug and chosen handle are dissimilar
de,/de/3/klangschalen-und-mehr/tingshas-trommeln-dorje-und-glocke.aspx,/de/3/klangschalen-und-mehr/instrumente-zur-klangheilung.aspx,/collections/instrumente-zur-klangheilung,exact,0.42,src slug and chosen handle are dissimilar
es,/es/3/cuencos-tibetanos-y-ms/tingshas-dorje-y-campana-tambores.aspx,/es/3/cuencos-tibetanos-y-ms/instrumentos-de-sanacin-con-sonido.aspx,/collections/instrumentos-de-sanacion-con-sonido,exact,0.41,src slug and chosen handle are dissimilar
fr,/fr/3/bols-chantants-et-plus/tingshas-dorje-cloches-tambours.aspx,/fr/3/bols-chantants-et-plus/instruments-de-gurison-sonore.aspx,/collections/instruments-de-guerison-sonore,exact,0.30,src slug and chosen handle are dissimilar
it,/it/3/campane-e-altro/cimbali-tamburi-dorje-e-campana.aspx,/it/3/campane-tibetane-e-altro/strumenti-musicali-terapeutici-allingrosso.aspx,/collections/strumenti-musicali-terapeutici-allingrosso,exact,0.30,src slug and chosen handle are dissimilar
